Table DR2. Nominally interseismic GPS velocity field used to constrain the block model.
Columns give: station name, longitude, latitude, east velocity, north velocity, east
uncertainty, north uncertainty!
!
Station Lon. Lat. V_e V_n S_e S_n!
BLAC_GPS 241.800 41.450 -2.607 1.090 0.800 1.000!
BLCK_GPS 238.240 44.290 -0.732 5.431 0.700 0.700!
BLMT_GPS 242.190 42.310 -4.180 1.473 0.600 0.700!
BNKS_GPS 244.080 40.770 -3.383 0.785 0.900 0.900!
BNTA_GPS 242.530 39.010 -3.205 0.458 0.600 0.600!
BORA_GPS 241.540 39.330 -4.554 2.502 0.600 0.700!
BR02_GPS 237.670 44.170 1.002 2.351 1.300 1.200!
BRAM_GPS 241.420 41.830 -2.100 1.107 0.800 0.900!
BROT_GPS 239.400 43.810 -0.777 2.485 0.557 0.536!
BUFF_GPS 242.190 39.150 -3.518 1.173 0.600 0.600!
BURR_GPS 240.080 40.550 -5.652 2.462 0.700 0.800!
BUTN_GPS 242.430 41.010 -1.999 -0.538 0.800 0.900!
BX46_GPS 241.690 39.270 -4.848 2.395 0.900 0.600!
C200_GPS 242.290 39.260 -2.498 -0.031 0.600 0.600!
C220_GPS 242.590 39.360 -2.462 0.455 1.200 0.900!
C240_GPS 242.860 39.490 -2.426 0.043 0.600 0.600!
C260_GPS 243.060 39.400 -2.819 0.734 0.900 0.600!
C280_GPS 243.380 39.480 -3.183 -0.982 0.800 0.600!
C300_GPS 242.120 38.760 -3.965 1.276 0.400 0.400!
C344_GPS 242.200 40.910 -2.230 -1.027 1.300 0.900!
C753_GPS 239.380 44.310 -0.723 2.289 1.000 1.100!
CARL_GPS 243.840 40.710 -2.010 1.196 1.200 1.100!
CAST_GPS 249.320 39.190 -0.772 -0.055 0.356 0.338!
CEDA_GPS 247.140 40.680 -3.301 -0.529 0.316 0.314!
CEDR_GPS 239.740 41.550 -5.379 4.076 0.900 0.900!
CHIL_GPS 240.800 39.360 -5.413 2.833 0.500 0.500!
CHLK_GPS 240.120 39.510 -9.456 3.861 0.500 0.500!
CHO1_GPS 238.340 39.430 -11.038 7.049 0.436 0.433!
CMBB_GPS 239.610 38.030 -11.429 7.847 0.386 0.383!
CNBY_GPS 239.130 41.430 -5.746 5.299 0.700 0.800!
CNWY_GPS 240.820 38.080 -6.943 9.832 1.000 0.800!
COON_GPS 247.880 40.650 -2.455 -0.515 0.337 0.353!
CRTS_GPS 244.990 40.660 -2.218 -0.961 0.600 0.600!
CTNP_GPS 240.530 41.900 -2.272 2.344 0.800 1.000!
CUPO_GPS 237.980 44.190 -1.367 6.840 1.000 0.900!
CUSG_GPS 242.960 40.000 -2.363 -1.062 0.700 0.700!
D100_GPS 243.840 40.080 -3.880 -0.404 0.400 0.400!
D200_GPS 243.690 39.530 -3.052 -0.396 0.600 0.500!
D220_GPS 244.020 39.540 -6.323 -0.612 1.000 0.700!
D240_GPS 244.200 39.380 -4.026 -1.321 1.000 0.600!
D260_GPS 244.440 39.400 -3.304 -0.633 0.800 0.600!
D280_GPS 244.920 39.420 -3.662 -2.257 0.800 0.700!
D300_GPS 243.250 39.060 -4.239 -0.975 0.500 0.500!
DECH_GPS 240.910 38.050 -11.139 8.428 0.500 0.500!
DORF_GPS 239.060 39.820 -8.215 4.801 1.200 1.000!
DRYX_GPS 238.910 44.210 1.523 6.907 0.800 0.800!
DYER_GPS 241.960 37.740 -5.202 3.002 0.444 0.442!
E100_GPS 245.350 39.900 -4.173 -0.379 0.500 0.500!
E200_GPS 245.050 39.290 -3.866 0.036 0.500 0.500!
E220_GPS 245.340 39.030 -4.671 -0.479 0.800 0.600!
E240_GPS 245.550 39.070 -1.349 -0.190 0.800 0.600!
E259_GPS 245.760 39.100 -3.129 -1.101 1.200 0.800!
E280_GPS 246.110 39.040 -4.807 -2.419 1.000 0.700!
E300_GPS 244.870 38.890 -3.825 -0.855 0.500 0.500!
E843_GPS 239.390 40.450 -6.223 4.089 1.100 0.900!
EARN_GPS 240.520 39.550 -8.617 3.844 0.400 0.400!
EGAN_GPS 245.060 39.350 -3.058 -0.564 0.400 0.400!
ELKO_GPS 244.180 40.910 -4.159 -0.020 0.400 0.400!
F067_GPS 240.950 41.880 -3.636 -0.973 0.800 1.000!
F091_GPS 239.460 43.390 -0.312 3.786 0.900 1.000!
F100_GPS 246.420 39.550 -2.224 -1.436 0.500 0.500!
F200_GPS 246.370 39.080 -3.881 -0.733 0.900 0.700!
F220_GPS 246.620 39.020 -4.068 -0.247 1.000 0.700!
F250_GPS 246.950 39.280 -1.811 -1.765 0.900 0.600!
F270_GPS 247.160 39.320 -2.190 0.323 0.900 0.700!
F279_GPS 241.850 39.230 -3.438 1.388 0.600 0.600!
F280_GPS 247.450 39.370 -1.860 0.307 1.000 0.700!
F300_GPS 246.330 38.790 -2.917 -0.331 0.500 0.500!
FLRN_GPS 240.800 39.940 -5.853 2.733 0.400 0.400!
FLS2_GPS 241.570 37.710 -7.419 6.500 1.200 1.100!
FOOT_GPS 246.190 39.370 -3.461 -0.307 0.338 0.320!
FRAZ_GPS 238.710 41.100 -9.916 7.514 0.900 0.900!
FUSG_GPS 239.820 39.920 -8.339 3.872 1.200 0.900!
G101_GPS 247.850 39.600 -3.501 -0.016 0.800 0.700!
G200_GPS 247.760 39.140 -2.662 -0.611 0.800 0.600!
G220_GPS 247.960 39.080 -5.753 -0.422 0.700 0.700!
G250_GPS 248.260 38.900 -5.250 0.960 0.700 0.600!
G298_GPS 241.810 40.120 -5.148 1.190 0.900 0.900!
G300_GPS 247.410 38.600 -3.352 -0.591 0.500 0.500!
GABB_GPS 242.080 38.970 -4.238 1.229 0.444 0.442!
GARL_GPS 240.640 40.420 -5.417 2.740 0.400 0.400!
GOLC_GPS 242.530 40.940 -2.698 0.658 0.900 0.900!
GOSH_GPS 245.820 40.640 -3.625 -0.368 0.318 0.316!
GUAN_GPS 240.520 42.020 -4.260 1.844 0.900 1.000!
H100_GPS 248.980 39.290 -0.746 -0.782 0.500 0.500!
H112_GPS 239.820 38.630 -10.370 8.872 0.700 0.800!
H130_GPS 240.920 38.160 -11.227 7.128 1.100 0.900!
H200_GPS 248.890 38.830 -2.108 -0.177 0.900 0.600!
H300_GPS 248.640 38.480 -1.268 2.538 0.700 0.600!
HEBE_GPS 248.630 40.510 -0.934 -0.239 0.335 0.333!
HELI_GPS 238.980 39.730 -7.631 4.604 1.200 0.900!
HELO_GPS 244.380 40.950 -3.338 -1.730 0.900 1.000!
HHTT_GPS 238.260 40.870 -8.680 6.231 1.000 0.900!
HICK_GPS 241.180 38.280 -6.693 7.117 1.000 1.000!
HILD_GPS 238.490 42.250 -1.819 5.122 0.800 1.000!
HLNB_GPS 238.730 41.480 -4.676 2.514 0.400 0.400!
HORU_GPS 241.190 37.980 -9.723 10.317 0.800 0.800!
HOTC_GPS 239.300 41.490 -2.624 3.292 0.900 0.900!
HP26_GPS 240.010 40.240 -5.730 3.482 0.680 0.652!
HSPR_GPS 240.350 40.920 -3.890 3.151 0.900 0.800!
HSTN_GPS 239.070 44.260 0.043 3.001 0.800 0.800!
HUSG_GPS 239.500 40.630 -5.295 5.385 0.800 0.700!
HYAT_GPS 237.500 42.150 -1.719 5.857 1.100 1.100!
J288_GPS 238.650 42.410 -1.388 2.917 0.800 1.000!
J74X_GPS 241.750 40.940 -4.666 0.093 1.500 0.900!
J789_GPS 238.170 42.870 -1.785 4.834 0.900 1.000!
JNCT_GPS 240.530 38.360 -6.438 8.744 1.000 0.700!
JUNI_GPS 240.070 42.930 -1.952 2.852 0.507 0.510!
K102_GPS 242.320 40.160 -3.700 -0.433 0.900 0.900!
K589_GPS 240.150 42.120 -2.583 0.159 1.000 1.000!
L091_GPS 239.360 43.290 -1.332 2.690 0.900 1.000!
LEWI_GPS 243.140 40.400 -2.869 -0.692 0.342 0.325!
LIZZ_GPS 241.770 38.530 -3.718 3.292 0.600 0.600!
LL92_GPS 243.020 40.360 -3.319 0.435 0.600 0.700!
LOLA_GPS 241.440 40.070 -6.185 2.106 0.600 0.600!
LOOP_GPS 241.010 42.720 -3.442 0.524 0.800 0.700!
LOWE_GPS 242.360 40.030 -4.410 0.266 0.600 0.600!
LUCK_GPS 241.230 38.420 -6.774 6.315 1.100 0.800!
LUMP_GPS 238.850 39.630 -7.552 6.409 1.400 0.900!
M504_GPS 238.470 41.720 -5.975 4.723 0.500 0.500!
M753_GPS 239.580 44.400 0.406 3.082 1.000 1.300!
MAGU_GPS 240.210 39.370 -9.562 6.057 0.400 0.400!
MCAR_GPS 238.600 41.050 -10.131 3.818 1.000 1.000!
MCOY_GPS 242.400 40.110 -4.799 1.064 0.600 0.600!
MICK_GPS 241.580 42.660 -2.997 1.500 0.600 0.600!
MINE_GPS 243.900 40.150 -3.569 0.286 0.343 0.343!
MN54_GPS 241.940 39.200 -4.734 1.584 0.600 0.600!
MOND_GPS 241.720 39.400 -5.531 1.594 0.700 0.700!
MONI_GPS 243.280 39.150 -3.727 0.223 0.400 0.400!
MOOR_GPS 245.200 41.110 -2.650 -1.972 1.000 1.000!
MUSB_GPS 240.690 37.170 -11.115 8.876 0.379 0.393!
N067_GPS 241.150 41.890 -2.418 2.718 0.800 0.900!
N843_GPS 239.330 40.420 -6.131 4.191 1.400 0.900!
NEWS_GPS 242.490 39.690 -4.490 0.467 0.481 0.487!
OAKR_GPS 237.500 43.750 0.262 5.769 0.507 0.487!
OBSD_GPS 240.760 41.880 -1.653 1.735 0.700 0.800!
OREG_GPS 239.410 42.200 -3.441 2.688 0.900 1.000!
ORVB_GPS 238.500 39.550 -10.790 7.022 0.400 0.400!
OVRP_GPS 238.720 41.710 -6.154 3.614 0.400 0.400!
P19A_GPS 240.530 40.580 -2.810 2.144 0.900 0.900!
P208_GPS 240.080 39.110 -9.800 6.362 0.500 0.500!
P515_GPS 240.220 41.000 -5.693 2.657 0.700 0.800!
PARA_GPS 242.310 41.280 -2.281 0.268 0.900 0.900!
PARS_GPS 239.930 42.210 -2.793 2.468 0.700 0.700!
PERS_GPS 241.250 40.860 -7.218 0.514 1.200 0.900!
PIBU_GPS 238.720 44.060 0.260 3.327 0.602 0.585!
PITR_GPS 238.460 40.980 -4.151 9.623 1.000 1.000!
PL20_GPS 239.280 42.260 -3.447 3.993 0.900 0.900!
POST_GPS 241.960 39.040 -4.249 2.883 0.600 0.600!
Q837_GPS 239.430 40.550 -7.809 3.588 1.000 0.900!
QUIN_GPS 239.060 39.970 -9.600 6.301 0.400 0.400!
R090_GPS 239.880 43.480 0.036 3.570 0.900 0.900!
RAIL_GPS 244.340 38.280 -3.817 -0.209 0.444 0.442!
RATT_GPS 241.300 40.000 -6.604 2.512 0.500 0.500!
ROCO_GPS 238.900 42.430 -0.963 1.607 1.100 1.000!
ROUN_GPS 238.540 41.430 -5.598 3.621 0.400 0.400!
RUBY_GPS 244.880 40.620 -3.634 -0.207 0.335 0.333!
RUST_GPS 237.650 42.620 -2.299 6.336 0.616 0.598!
SAGE_GPS 239.960 39.790 -8.841 4.867 0.500 0.500!
SHEL_GPS 241.680 39.040 -5.372 1.096 0.900 0.700!
SHIN_GPS 239.770 40.590 -6.749 4.175 0.335 0.333!
SHLD_GPS 240.980 41.870 -3.519 2.599 0.346 0.346!
SHON_GPS 242.810 40.030 -5.472 1.045 0.700 0.800!
SILV_GPS 238.940 43.120 -1.688 4.606 0.600 0.600!
SIST_GPS 238.440 44.310 0.924 3.862 0.520 0.527!
SLID_GPS 240.120 39.310 -9.908 5.598 0.473 0.411!
SLR1_GPS 241.790 39.110 -6.256 3.391 0.600 0.600!
SMEL_GPS 247.160 39.430 -3.077 -0.366 0.320 0.320!
SMOK_GPS 240.350 40.620 -6.061 3.710 0.719 0.618!
SNDS_GPS 241.580 39.150 -7.769 3.300 0.600 0.700!
SODH_GPS 241.980 41.410 -2.096 2.183 0.600 0.700!
STEA_GPS 237.260 43.340 -1.341 6.357 0.487 0.495!
SUTB_GPS 238.180 39.210 -10.871 7.506 0.370 0.353!
T128_GPS 242.760 42.930 -2.761 -0.853 0.900 1.000!
TMBR_GPS 238.700 41.630 -4.664 5.615 0.400 0.400!
TONO_GPS 242.820 38.100 -4.222 0.772 0.348 0.330!
TRGO_GPS 240.870 40.770 -7.461 2.530 1.000 0.800!
TUFF_GPS 238.790 42.440 -2.272 1.111 1.000 1.000!
TUNG_GPS 241.740 40.400 -5.591 2.009 0.335 0.335!
U698_GPS 241.700 43.170 -2.030 -1.405 0.900 1.000!
UPSA_GPS 241.200 39.630 -6.647 3.055 0.342 0.323!
UU83_GPS 239.680 39.320 -9.112 6.778 0.700 0.600!
V209_GPS 240.460 39.080 -6.671 4.847 0.600 0.500!
VALM_GPS 242.890 40.780 -6.384 0.241 0.800 0.900!
VIDA_GPS 237.430 44.150 1.349 4.769 0.594 0.545!
W072_GPS 239.230 43.010 -3.527 3.277 0.628 0.600!
W078_GPS 241.420 38.610 -5.039 4.707 1.100 0.900!
W67R_GPS 239.640 42.190 -4.621 2.879 0.700 0.800!
W784_GPS 237.990 42.140 -1.776 2.040 1.000 1.000!
WICK_GPS 238.310 43.680 -3.170 6.335 0.492 0.500!
WILD_GPS 241.630 40.020 -5.374 4.098 0.700 0.700!
WILO_GPS 243.590 41.210 -2.277 -0.792 0.600 0.700!
X360_GPS 241.610 38.540 -3.030 2.899 1.000 0.900!
Y090_GPS 239.690 43.430 -0.187 2.977 0.800 0.900!
YBHB_GPS 237.290 41.730 -3.575 6.787 0.424 0.421!
Z25X_GPS 242.310 38.770 -5.548 -0.932 1.000 0.900!
KELY_GPS 309.050 66.990 0.569 -0.543 0.363 0.369!
STJO_GPS 307.320 47.600 -1.395 -0.657 0.800 0.100!
BRMU_GPS 295.300 32.310 0.117 -0.249 0.700 0.700!
THU1_GPS 291.210 76.540 -1.933 -0.805 0.548 0.548!
WES2_GPS 288.510 42.610 0.461 -1.144 0.418 0.409!
NLIB_GPS 281.930 45.960 0.475 -0.605 0.360 0.360!
ALGO_GPS 268.420 41.770 0.102 0.021 0.332 0.321!
YELL_GPS 245.520 62.480 -0.434 -0.312 0.330 0.347!
DRAO_GPS 240.380 49.320 1.065 1.366 0.353 0.361!
FAIR_GPS 212.500 64.980 0.464 -3.506 0.365 0.354!
BILI_GPS 166.440 68.080 2.113 -1.869 0.671 0.689!
PETP_GPS 158.610 53.010 -5.856 10.623 1.600 1.600!
MAGO_GPS 150.770 59.580 4.682 -5.544 1.500 1.600!
YSSK_GPS 142.720 47.030 8.391 0.490 1.700 1.700!
TIXI_GPS 128.870 71.630 -2.546 -1.133 1.500 1.500!
0047_GPS 240.017 43.590 -2.069 1.357 0.610 0.600!
0113_GPS 235.842 41.933 1.899 11.340 0.743 0.728!
0209_GPS 238.742 41.671 -2.440 4.050 1.580 1.610!
0226_GPS 240.006 40.245 -5.730 3.482 0.680 0.652!
036C_GPS 244.168 41.511 -2.840 -0.620 0.800 0.750!
1214_GPS 237.059 42.397 -0.300 6.590 1.750 1.010!
16EM_GPS 243.534 42.656 -2.380 1.810 0.860 0.840!
1882_GPS 239.335 47.768 1.730 2.530 0.520 0.550!
217U_GPS 238.095 46.542 2.740 5.030 0.480 0.590!
2780_GPS 235.676 43.344 5.080 11.270 0.580 0.450!
4S9B_GPS 237.409 45.216 1.670 6.896 1.015 0.865!
4Z9A_GPS 236.549 48.124 5.930 4.860 0.730 0.920!
74LR_GPS 240.581 41.173 -4.190 2.250 0.700 0.730!
A074_GPS 238.825 43.313 -1.550 4.450 0.700 0.690!
A16N_GPS 235.940 44.587 6.729 9.813 0.442 0.409!
A479_GPS 236.467 46.991 7.100 6.100 0.530 0.600!
A515_GPS 239.575 48.594 0.700 1.770 0.950 0.920!
A545_GPS 239.256 45.475 0.420 3.060 0.600 0.620!
A699_GPS 241.549 43.216 -2.620 1.230 0.730 0.720!
ACME_GPS 237.796 48.711 3.290 4.280 0.790 1.010!
AHID_GPS 248.936 42.773 -0.893 -0.967 0.458 0.430!
AIRP_GPS 242.185 44.833 -0.690 0.350 0.560 0.500!
ALAM_GPS 244.842 37.358 -3.280 -0.160 0.390 0.380!
ALCC_GPS 232.481 50.458 -0.190 3.010 0.730 0.750!
ALEX_GPS 234.507 49.738 5.280 5.960 1.020 1.050!
ALKA_GPS 240.001 42.954 -2.480 3.560 0.620 0.700!
ALTA_GPS 238.253 42.209 -3.430 5.150 0.400 0.440!
ANAW_GPS 233.453 49.789 5.880 5.890 0.740 0.780!
ANNA_GPS 234.685 50.491 2.350 3.110 0.850 0.880!
APEX_GLA 245.068 36.319 -3.390 -0.290 0.380 0.370!
APSA_GPS 237.015 46.671 3.770 5.740 0.400 0.400!
ARGU_GLA 242.478 36.050 -7.280 5.840 0.400 0.390!
ARLI_GPS 237.842 48.162 2.670 2.900 0.440 0.450!
ARLO_GPS 237.846 48.170 2.850 3.640 0.590 0.680!
ARP0_GPS 237.193 46.477 8.840 3.690 1.450 1.670!
ASH0_GPS 237.293 42.216 -5.030 7.500 0.680 0.750!
ASTO_GPS 236.168 46.173 7.280 8.290 0.760 0.780!
ATHE_GPS 241.529 45.813 -0.240 0.450 0.520 0.510!
ATKI_GPS 236.747 49.337 3.110 3.500 1.170 0.930!
AVA2_GPS 237.751 47.686 4.250 3.180 0.580 0.580!
AZAL_GPS 236.747 42.799 -0.600 8.340 0.750 0.740!
B059_GPS 238.574 47.735 3.630 3.100 0.540 0.560!
B073_GPS 241.271 40.848 -4.540 2.720 0.880 0.910!
B197_GPS 237.245 47.501 4.920 5.580 0.580 0.640!
B317_GPS 240.273 46.578 0.720 1.710 0.550 0.610!
B737_GPS 236.803 44.149 2.420 5.000 0.910 0.990!
B741_GPS 236.589 43.129 -0.680 8.530 0.660 0.720!
BAKR_GPS 238.326 48.865 1.550 1.990 1.240 1.390!
BAL2_GPS 235.934 44.830 7.390 9.810 0.570 0.590!
BALL_GPS 235.842 49.347 4.770 5.270 0.550 0.600!
BAMF_GPS 234.866 48.828 8.600 7.460 0.780 0.960!
BATT_GPS 237.453 45.781 2.960 5.760 0.420 0.450!
BCHD_GPS 236.349 48.316 5.530 4.820 1.310 0.930!
BCHR_GPS 234.777 49.650 5.800 4.600 0.720 0.780!
BCOV_GPS 233.157 50.544 2.790 4.200 0.690 0.710!
BEAV_GPS 238.195 43.133 -2.723 7.111 0.500 0.512!
BHAP_GPS 237.465 48.791 3.830 2.090 1.950 1.140!
BIGC_GPS 236.419 46.146 4.740 6.430 0.540 0.600!
BIGH_GPS 241.470 45.600 -0.370 1.030 1.080 0.920!
BLCO_GPS 235.514 42.801 3.530 12.790 0.430 0.420!
BLK4_GPS 237.536 43.160 -0.650 5.990 0.380 0.400!
BLUE_GPS 236.740 47.955 5.690 5.160 0.380 0.400!
BLYN_GNI 237.072 48.016 4.484 4.835 0.737 0.768!
BM31_GPS 238.341 48.273 2.670 1.950 0.580 0.590!
BOLI_GPS 236.164 42.792 -0.020 9.350 0.350 0.350!
BOUN_GPS 237.004 49.078 3.680 3.990 1.230 0.940!
BOVL_GPS 243.598 46.857 1.160 0.480 0.750 0.700!
BRAE_GPS 236.588 45.065 3.670 6.520 0.950 0.970!
BREW_GPS 240.317 48.132 1.370 1.600 0.610 0.640!
BRIB_GPS 237.847 37.919 -14.986 16.112 0.418 0.415!
BRMU_GPS 295.304 32.370 0.662 -0.271 0.435 0.386!
BROW_GPS 237.556 47.306 3.730 2.800 0.980 1.180!
BRWV_GPS 234.360 50.125 4.390 4.480 0.760 0.790!
BSTR_GPS 236.274 43.660 2.230 8.720 0.610 0.620!
BULC_GPS 232.890 50.961 -1.250 4.420 0.860 0.910!
BURN_GPS 242.156 42.780 -1.901 1.618 0.541 0.541!
BUST_GLA 243.549 36.745 -3.490 0.120 0.380 0.370!
C033_GPS 240.189 47.242 1.720 1.550 0.760 0.740!
C334_GPS 242.431 46.486 0.180 1.630 0.630 0.660!
C715_GPS 236.900 44.633 4.210 7.020 0.880 1.140!
CALV_GPS 232.046 51.544 -1.960 2.390 0.910 0.950!
CAM4_GPS 236.222 43.002 -0.140 9.310 0.430 0.430!
CANN_GPS 236.040 45.862 7.610 8.580 0.380 0.400!
CAPS_GPS 237.401 48.513 5.180 3.210 0.920 1.080!
CBL1_GPS 240.451 45.344 -0.170 2.110 0.530 0.570!
CC25_GPS 241.411 46.973 0.620 1.760 0.520 0.520!
CEDC_GPS 236.154 45.214 5.190 8.280 0.590 0.630!
CHAB_1PS 237.881 37.724 -16.608 18.972 0.357 0.414!
CHAS_GPS 237.009 45.524 3.180 6.140 0.420 0.470!
CHAT_GPS 183.434 -43.956 -38.713 50.072 0.461 0.480!
CHEM_GPS 236.297 48.920 4.863 4.379 0.550 0.555!
CHLO_GLA 243.234 36.747 -3.600 0.560 0.380 0.370!
CHO1_GPS 238.335 39.433 -10.947 6.924 0.509 0.508!
CHUR_GPS 265.911 58.759 0.629 -0.261 0.386 0.400!
CHWK_GPS 237.992 49.157 2.370 2.150 0.320 0.320!
CHZZ_GPS 236.022 45.487 6.920 9.647 0.418 0.421!
CLAT_GPS 236.795 46.105 4.730 6.810 1.060 1.110!
CLCC_GPS 237.425 45.326 1.750 8.010 1.040 1.270!
CLFH_GPS 237.639 45.296 1.340 5.100 0.590 0.640!
CMB0_GPS 239.614 38.034 -10.903 7.929 0.443 0.442!
CME1_GPS 235.604 40.442 -9.170 30.720 0.568 0.568!
CNDR_GPS 238.722 37.896 -12.961 7.586 0.485 0.482!
CNSP_GPS 236.326 48.465 5.740 4.800 1.310 1.010!
CNTR_GPS 236.297 46.973 8.500 7.370 0.520 0.590!
COEU_GPS 243.204 47.743 0.860 0.160 0.520 0.510!
COLR_GPS 237.170 44.208 2.350 6.400 1.000 1.020!
COND_GPS 236.083 46.057 7.800 7.710 0.550 0.580!
CORV_GPS 236.695 44.586 3.026 7.194 0.361 0.424!
COVE_GPS 242.180 45.297 -0.740 0.820 0.790 1.030!
COXI_GPS 231.401 50.813 -0.190 2.910 0.900 0.950!
CPXF_GNI 237.743 46.840 2.540 4.531 0.593 0.611!
CRAT_GLA 243.431 36.808 -3.390 0.280 0.380 0.370!
CRES_GPS 238.056 43.530 -0.570 5.040 0.900 0.750!
CROW_GPS 236.681 43.986 1.920 8.300 0.670 0.710!
CRWN_GPS 241.014 47.971 1.360 -0.040 1.190 1.100!
CSTL_GPS 237.081 46.283 3.750 6.440 0.620 0.690!
CTHS_GPS 241.618 47.127 0.550 1.620 0.960 1.150!
CUGR_GPS 237.765 44.119 0.980 5.120 1.210 1.030!
CURT_GPS 236.401 44.377 3.490 8.260 0.500 0.530!
D639_GPS 240.177 45.813 -0.040 2.420 0.490 0.540!
D706_GPS 241.068 43.960 -1.410 1.270 0.760 0.710!
DALL_GPS 238.825 45.618 1.390 3.340 0.350 0.410!
DARL_GPS 236.607 43.242 -1.670 9.390 0.930 0.730!
DAVI_GPS 235.680 49.599 4.430 5.200 0.540 0.570!
DDSN_GPS 236.756 43.119 0.395 7.794 0.520 0.472!
DELI_GPS 236.545 43.126 0.060 7.920 0.730 0.790!
DIAB_GPS 238.084 37.879 -12.327 11.091 0.458 0.456!
DISC_GPS 236.773 48.425 4.610 4.660 1.370 0.990!
DOTT_GPS 236.725 46.631 4.850 6.810 0.460 0.520!
DOUG_GPS 236.653 48.493 4.970 4.020 1.300 0.930!
DUBO_GPS 264.134 50.259 -0.640 -0.762 0.367 0.332!
DUNG_GPS 236.890 48.181 6.730 3.170 1.200 1.230!
DUWA_GPS 237.613 47.595 4.870 5.340 1.170 1.460!
E040_GPS 239.820 45.243 1.320 1.930 0.760 0.760!
E072_GPS 243.588 43.075 -1.960 0.420 0.970 1.000!
E141_GPS 236.709 44.391 4.720 7.210 0.590 0.630!
E518_GPS 239.408 47.559 3.290 2.680 1.250 0.950!
EA40_GPS 236.591 47.939 6.810 4.310 0.450 0.470!
EARL_GPS 236.024 49.753 3.520 4.250 0.480 0.520!
EASN_GPS 238.829 47.232 4.950 4.160 0.470 0.480!
ECHO_GPS 245.736 37.916 -3.442 -0.423 0.367 0.364!
EDDY_GPS 236.233 44.612 5.420 7.950 1.040 1.250!
EGAN_GPS 245.061 39.345 -4.922 -0.196 0.436 0.436!
ELIZ_GPS 232.877 49.873 5.180 6.260 0.700 0.730!
ELKO_GPS 244.183 40.915 -4.255 0.130 0.400 0.364!
ELKR_GPS 237.655 46.301 3.715 4.539 0.568 0.574!
EOUT_GPS 248.071 41.253 -1.362 -0.151 0.427 0.361!
ESTA_GPS 237.667 45.299 1.350 5.100 0.590 0.640!
EZEL_GPS 236.837 44.079 1.990 7.120 0.820 0.940!
F408_GPS 243.551 44.669 0.850 1.230 0.890 0.640!
F735_GPS 238.803 44.269 -0.620 4.170 1.310 1.270!
